start,end,text
0,6000," Så er jeg live."
6000,10000," Jeg kan simpelthen ikke finde ud af det der med at sætte musik på, når jeg er her alene."
10000,14000," Og det var ikke planen, at jeg lige skulle være her i dag og lave en live."
14000,20000," Men så blev jeg lige mega inspireret til det af så mange grunde."
20000,25000," Men grunden til, at jeg egentlig er her inde i dag, det er fordi, som I kan se dernede, så er der en masse tøj."
25000,33000," Og det er fordi, at min mor og jeg i morgen søndag holder garderobesal på hendes Facebook-profil."
33000,40000," Men så blev jeg lige helt vildt inspireret til at lave en smykke-live omkring nogle af mine ikoniske designs uden ædesten."
40000,46000," I ved jo godt, at jeg går rigtig meget op i ædesten, og det er noget af det, der er min DNA."
46000,49000," De her helt fantastiske ædesten, jeg bruger i alle mine designs."
49000,57000," Og derhenne, jeg har også lavet en ret stor samling af designs uden ædesten, fordi det er jo også mega smukt."
57000,62000," Og har så et helt andet udtryk, lidt mere råt, hvis man kan sige det sådan."
62000,69000," Inden jeg går i gang med at vise nogle af de her ikoniske designs, så vil jeg lige sige velkommen til alle jer, der ser med."
69000,72000," Hej Chris, hej Margrete, hej Lotte."
72000,75000," Chris, jeg troede, at du skulle være til modeugen lige nu."
75000,79000," Men det kan også være, at den egentlig er over modeugen, det ved jeg ikke. Jo, det tror jeg faktisk, den er."
79000,86000," Anyways, det jeg vil sige, det er, hvis I deler den her live undervejs, så er der den her på højkant."
86000,88000," Hej Lotte, ha' en dejlig lørdag."
88000,94000," Så er der den her på højkant, som er en af de her meget lækre sæber fra Auteek af Cecilia."
94000,98000," I kan ikke rigtig dufte den igennem skærmen, men de dufter mega godt."
98000,103000," Det er florøv, som er med jasmin og sådan en blomsterduft."
103000,106000," Så hvis I deler den her, hej Margrete."
106000,109000," Og nu er Nina og Barbara også med, tak fordi I ser med."
109000,114000," Hvis I deler den her live undervejs, så deltager I konkurrence omkring den her."
114000,117000," Jeg trækker straks, jeg er færdig med den her live."
117000,120000," Så det skal I lige huske."
120000,124000," Nå, nu vil jeg så vise nogle af mine ikoniske designs."
124000,131000," Det er jo sådan lidt nogle gange at skulle vælge sine babyer, ikke?"
131000,133000," Altså, de er alle sammen mine babyer."
133000,136000," Jeg vil jo i bund og grund sige, at de alle sammen er mine ikoniske designs."
136000,141000," Men der er selvfølgelig nogen, som også er meget mere populære end andre."
141000,151000," Inden jeg lige går i gang med at fortælle om de her designs, så viser jeg jo også undervejs 13 forskellige \"Ja tak\"-tilbud."
151000,153000," Hej Anne Margrete."
153000,161000," Hvis I er interesseret i at købe de her tilbud, jeg viser, så er det bare at overføre på mobilepay..."
161000,163000," Nej, for det første skal I lige sige \"Ja tak\" og det nummer."
163000,169000," Og så overfører I på mobilepay 23 473, og så er der gratis forsendelse."
169000,173000," I må også love mig endelig at stille spørgsmål undervejs. Jeg elsker, når I stiller spørgsmål."
173000,182000," Det første ikoniske design har jeg en særlig god pris på, mens I ser med her live."
182000,185000," Og det er min multi-hoops."
185000,190000," I hører mig jo ellers ofte sige, at vi skal passe på med at gå med ringe eller store hoops og sådan noget."
190000,197000," Men det der er ved min multi-hoops, og jeg tror også det er derfor, at de er blevet så populære, det er faktisk en drobe."
197000,204000," Og drobe er jo rigtig gode til os alle sammen, fordi de slanker og fremhæver ens kænben."
204000,213000," Multi-hoops, det der er en særlig god pris på i dag, det er \"Ja tak 01\" til 1099."
213000,217000," Og det er altså kun de næste to timer."
217000,222000," Og det er normalt pris 1899. Og det er altså \"Ja tak 01\"."
222000,226000," Så det er altså mere end, jeg kan ikke regne ud i hovedet, hvor meget det er, men det er mere end 40 procent."
226000,228000," Så det er en god \"Ja tak\" pris."
228000,235000," Og det der er med det rosa guld, det er jo, at det giver en meget flot glød."
235000,243000," Hvor man med sort godt nogle gange kan virke lidt hård, og guld kan blive lidt guldet, så er rosa guld et hit i forhold til det der med at give en glød."
243000,249000," Og specielt her om vinteren, hvor vi jo ikke har så meget glød, så er det altså virkelig flot med det rosa guld."
249000,255000," Det er altså \"Ja tak 01\" til 1099. Normal pris er 1899."
255000,261000," Det er kun de næste to timer, dvs. indtil 17/18/1930, er det ikke?"
261000,266000," Jo, indtil 1930, der er den her særlig gode pris på Multi Hoops i rosa guld."
266000,271000," Alle de andre tilbud gælder helt indtil videoen stadig er der."
271000,276000," Så siden videoen her er der, så er der tilbuddet på alle de andre smykkeaviser nu."
276000,279000," Nu viser jeg Constance."
279000,283000," I har måske set en lille royal prinsesse med dem på i dag."
283000,286000," De er helt fantastiske."
286000,291000," Det er også et af mine... altså nu siger jeg også et, men alt jeg viser her er et ikonisk design."
291000,296000," Det her er faktisk et design, jeg lavede. Det var i 2019, jeg lanserede det."
