start,end,text
0,5000," Det er faktisk en smoothie, og vi er stadig hjemme og klar."
5000,8000," Prøv at sige det igen."
8000,10000," Ja, det er bare en hilsen fra Kasper og Tove."
10000,13000," Hej Jeppe, hej Romeo, vi kommer snart."
13000,14000," Vi kommer snart."
14000,15000," Hej Romeo, I er på vej."
15000,16000," Vi bliver aldrig oppe."
16000,17000," Nej."
17000,23000," Vi er virkelig blevet mere, vi er virkelig stået her og holdt sig orienteret."
23000,24000," - Ja. - Ja."
24000,26000," - For at få flyvetnumrene og..."
