start,end,text
0,10000," Det er en sejrens dag, fordi endelig har Rigshospitalet fået offentliggjort deres data på over 6.000 patienter eller mennesker som blev delt op i to grupper."
10000,17000," Den ene havde masker på, den anden havde ikke. Og det viser, at mundbind beskytter ikke mod covid-19."
17000,20000," Der var ingen statistisk forskel mellem de to grupper."
20000,24000," Det vil sige, at der er én ting at sige til dette ægte mundbind i det offentlige rum."
24000,28000," Trash it. Smid det væk. For ved du hvad? Det virker ikke."
28000,36000," Hvad vi samtidig ved er, at der er rigtig mange bivirkninger ved sådan en ægte mundbind."
36000,40000," Blandt andet, at vi må forvente flere der falder, fordi de simpelthen ikke kan se noget."
40000,43000," Brillerne dukker. De kan ikke se jorden på grund af masken."
43000,47000," Flere ulykker. Der er flere af jer der er semmernorm."
47000,53000," Meget skrækkelig billede med alle mulige udslæt og svamp og hududslæt og migræn, jeg skal komme efter dig."
53000,59000," Det korte og lange er, og det er det gode budskab, at med sådan et studie, der bør regering omgående"
59000,64000," ophæve maskenpåbud. For der er ikke lægefaglig grundlag for det."
64000,68000," Der var det ikke forud for, at det her studie blev offentliggjort i dag."
68000,71000," Men der er endnu mindre nu, når det endelig er blevet offentliggjort."
71000,75000," Og jeg ved godt, hvorfor det tog forskeren så lang tid om at få det offentliggjort."
75000,80000," Det var fordi, at der var meget store holdninger til det hos de forskellige medicinske tidsskrifter."
80000,83000," De var reelt ude for forskningsmæssig censur."
83000,85000," Det går altså ikke i en fri verden."
85000,87000," Så skal vi ikke få den frie verden tilbage?"
87000,92000," Kyle mundbillet ud, hvor det hører til i skrælspanden, som jeg sagde tidligere."
92000,94000," ""Trash your mask""."
94000,99000," Og så få det frie liv tilbage og få respekt for vores grundløb."
99000,104000," Jeg håber og tror, at det fører til, at regeringen får ophævet mundbilletspåbud."
104000,110000," Og jeg håber og tror, at der er et valg på vej, fordi vi ikke kan leve under de her vilkår længere."
110000,112000," Hvor det er frygten, der har styret landet."
112000,116000," Og hvor vi har en regering, der er så fakta-resistent, som tilfældet er."
116000,118000," Det er ikke i orden."
118000,124000," Men det gode budskab er, at der er ingen lægefaglig begrundelse overhovedet for, at mundbillet virker."
124000,129000," Tvært om har vi noget dokumentation for, at det ikke virker og ikke beskytter os mod COVID-19."
129000,131000," Så skal vi ikke bare smide ved dæk."
132000,135280," ""Trash your mask"" eller ""Kød masken"" eller ""Mundbilledet ind""."
135280,136280," Vi ses."
