start,end,text
0,3000," Merry Christmas!"
3000,8000," Og så kan jeg faktisk ikke mere af den sang. Jeg ved heller ikke helt, hvad det var for en sang, jeg tænkte, jeg skulle synge."
8000,13000," Men at jeg tænkte, at jeg skulle snakke om julegaver, det var det, jeg skulle i dag."
13000,16000," Nemlig nogle rigtige... Altså, det er jo helt sindssygt."
16000,19000," Om to uger er det juleaften."
19000,26000," Jeg ved ikke med jer, men jeg er overhovedet ikke gået i gang med at finde julegaver endnu."
26000,30000," Nu har vi så heller ikke så stort en familie, så jeg skal ikke finde så mange. Det er jo meget heldigt."
30000,33000," Men derfor skal jeg jo stadig finde et par julegaver."
33000,41000," Men jeg har så fundet nogle rigtig gode julegaver-idéer til dem, I skal forkæle derud."
41000,45000," Eller måske til jeres egen julegave-ønskeliste."
45000,49000," Først vil jeg jo starte med et rigtig godt tip."
49000,59000," Hvis I skal give en gave til hustruen, til jeres kæreste, til en veninde eller noget datter, så tænk over, hvad hendes øjenfarve er."
59000,63000," Fordi hvis du giver noget, der matcher hendes øjenfarve, så siger det..."
63000,67000," Altså først er det jo meget personligt, fordi du tænker over, hvad hendes øjne er, hvem hun er."
67000,70000," Men det siger \"vum\" op til hendes øjne."
70000,78000," Nu har jeg jo brune øjne, så til mig vil det være rigtig flot at fremhæve mine øjne, hvis jeg har noget på med rød toupace."
78000,81000," Det er så en klassiker Pure Drop."
81000,93000," Jeg har lovet at blive lidt bedre til at huske priser, så jeg prøver, men ellers så ved jeg, og min mor ser også med nu, at hun lægger links ind til alle smykkerne bagefter."
93000,96000," Hvor heldig jeg egentlig er. Det er altså timarbejde."
96000,102000," Nå, rød toupace Pure Drop 899, det er en virkelig, virkelig god gaveidé."
102000,107000," Har man derimod blå-grønne øjne, så er der rigtig mange danskere, der har."
107000,112000," Så er Labradorit Outstanding, fordi den har det her blå-grønne skær."
112000,117000," Den er sindssygt flot. Blå-grønne øjne, så er den her perfekt."
117000,120000," Har altså Labradorit Ædesten."
120000,125000," Nu viser jeg bare én stejl. Nu viser jeg så Goddes her, fordi Goddes er en rigtig god model."
125000,129000," Enten Pure Drop, som jeg viste før, eller Goddes, hvis man skal spændere lidt mere."
129000,131000," De koster omkring 1800, når det er med Labradorit."
131000,138000," Hvis det er fx med den røg toupace til de brune øjne, så koster den 1449."
138000,144000," Alle vores ædesten er jo det, der hedder AAA-kvalitet, som er den fineste kvalitet, man kan få."
144000,146000," And I love it."
146000,151000," Har man derimod helt blå øjne, så er det klart noget med blå toupace."
151000,155000," Prøv at se den her Enchanted."
156000,163000," Enchanted er modellen, hvor jeg har en stor ædesten i midten her, altså blå toupace, og små hvide toupacer rundt om."
163000,168000," Meget, meget smuk og meget, meget nem at bruge."
168000,174000," I sølv bliver den mere isblå i det, og det er rigtig flot til rigtig mange skandinaviske kvinder."
174000,177000," Den blå toupace er en meget smuk ædesten."
177000,183000," Her har jeg så i den nye kollektion kombineret blå toupace med tyrkis, og det er altså også lidt frækt."
183000,186000," Og specielt med gulv, fordi så får det lidt mere varme."
186000,190000," Har man blå øjne, er den også virkelig outstanding."
190000,197000," Divine, som den hedder i modellen her, er en af mine egne favoritter, også når vi kommer ned i den modell, der er lidt mindre."
197000,203000," Jeg har selv også her den her Isort Søl, som jeg bruger rigtig meget, fordi den er nem bare at tage på."
203000,208000," Og hvis man er sådan, at man tænker, at det er tørklædevær, og man har et stort varmt sødt tørklæde på, så er den rigtig god,"
208000,212000," fordi den sidder egentlig bare oppe på øret, men den giver stadig noget fra sig."
212000,216000," Og så i modellen med hvid toupace, Isort Søl, fordi så bliver det rigtig rødt."
216000,222000," Prøv at se, hvor flot det ville have været til den, jeg har på nu. Det ville da have været mega flot til den her sweater."
222000,229000," Så er der også, hvis man nu tænker, at hun er til sådan lidt større smykker, hun er sådan lidt mere bohème."
229000,231000," Ja, det er vi jo nogen, der er."
231000,234000," Eller også er vi jo også nogen, som ændrer lidt stil engang imellem."
234000,236000," Jeg kan for eksempel rigtig godt lide, at nogle dage, så er jeg meget feminin,"
236000,240000," andre dage, så er jeg sådan lidt mere rå, som jeg er i dag."
240000,246000," Men hvis man er til det lidt mere feminin, men bohème, så er multihoop, den er bare et hit."
246000,250000," Altså, det er en klassiker, det er virkelig mange år siden, jeg designede den,"
250000,254000," og den bliver bare ved med at være klassisk, at være fantastisk."
254000,259000," Hvis man er til det mere feminine look, så er det godt i guld, forgyldt."
259000,264000," Hvis man derimod tænker, okay, vi skal være sådan lidt mere rødt, så skal det være Isort Søl."
264000,269000," Den havde altså også været sindssygt flot til den trøje, jeg har på nu."
269000,274000," Den er en klassiker, multihoop, den går man ikke af i byen med, det siger jeg."
274000,282000," Goddess Isort Søl, eller Graces Isort Søl med hvid topaz, som jeg har på nu, den er også."
282000,288000," De her ligger også altid i min, hvad hedder det, smykkeæske, fordi at dem bruger jeg virkelig meget."
288000,293000," Og så Goddess-modellen her til 14.49, prøv at se, hvor flot det også ser ud,"
293000,302000," enten den store eller den lille, men kombinationen af hvid topaz og sort søl er supersmuk og meget, meget, meget klædelig."
